_id,time,RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4,target,target_label,group,group_label
1,0.0,-0.90476,-0.48,0.28570999999999996,0.3,1,Movement,1,environment_1
1,0.125,-0.57143,-0.32,0.14286,0.3,1,Movement,1,environment_1
1,0.25,-0.38095,-0.28,-0.14286,0.35,1,Movement,1,environment_1
1,0.375,-0.28570999999999996,-0.2,-0.47618999999999995,0.35,1,Movement,1,environment_1
1,0.5,-0.14286,-0.2,0.14286,-0.2,1,Movement,1,environment_1
1,0.625,-0.14286,-0.2,0.047619,0.0,1,Movement,1,environment_1
1,0.75,-0.14286,-0.16,-0.38095,0.2,1,Movement,1,environment_1
1,0.875,-0.14286,-0.04,-0.61905,-0.2,1,Movement,1,environment_1
1,1.0,-0.095238,-0.08,0.14286,-0.55,1,Movement,1,environment_1
1,1.125,-0.047619,0.04,-0.095238,0.05,1,Movement,1,environment_1
1,1.25,-0.19047999999999998,-0.04,0.095238,0.4,1,Movement,1,environment_1
1,1.375,-0.095238,-0.04,-0.14286,0.35,1,Movement,1,environment_1
1,1.5,-0.33333,-0.08,-0.28570999999999996,-0.2,1,Movement,1,environment_1
1,1.625,-0.2381,0.04,0.14286,0.35,1,Movement,1,environment_1
1,1.75,0.0,0.08,0.14286,0.05,1,Movement,1,environment_1
1,1.875,-0.095238,0.04,0.095238,0.1,1,Movement,1,environment_1
1,2.0,-0.14286,-0.2,0.14286,0.5,1,Movement,1,environment_1
1,2.125,-0.19047999999999998,0.04,-0.42857,0.3,1,Movement,1,environment_1
1,2.25,-0.14286,-0.08,-0.2381,0.15,1,Movement,1,environment_1
1,2.375,-0.33333,0.16,-0.14286,-0.8,1,Movement,1,environment_1
1,2.5,-0.42857,0.16,-0.28570999999999996,-0.1,1,Movement,1,environment_1
1,2.625,-0.71429,0.16,-0.28570999999999996,0.2,1,Movement,1,environment_1
1,2.75,-0.095238,-0.08,0.095238,0.35,1,Movement,1,environment_1
1,2.875,-0.28570999999999996,0.04,0.14286,0.2,1,Movement,1,environment_1
1,3.0,0.0,0.04,0.14286,0.1,1,Movement,1,environment_1
1,3.125,0.0,0.04,-0.047619,-0.05,1,Movement,1,environment_1
1,3.25,-0.14286,-0.6,-0.28570999999999996,-0.1,1,Movement,1,environment_1
2,0.0,-0.57143,-0.2,0.71429,0.5,1,Movement,1,environment_1
2,0.125,-0.7619,-0.48,0.7619,-0.25,1,Movement,1,environment_1
2,0.25,-0.85714,-0.6,0.85714,0.55,1,Movement,1,environment_1
2,0.375,-0.7619,-0.4,0.71429,0.6,1,Movement,1,environment_1
2,0.5,-0.7619,-0.84,0.85714,0.45,1,Movement,1,environment_1
2,0.625,-0.7619,-0.84,0.71429,0.05,1,Movement,1,environment_1
2,0.75,-0.80952,-0.88,0.7619,0.65,1,Movement,1,environment_1
2,0.875,-0.80952,-0.88,0.71429,0.65,1,Movement,1,environment_1
2,1.0,-0.66667,-0.52,0.7619,0.65,1,Movement,1,environment_1
2,1.125,-0.66667,-0.52,0.7619,0.65,1,Movement,1,environment_1
2,1.25,-0.61905,-0.4,0.38095,0.65,1,Movement,1,environment_1
2,1.375,-0.80952,-0.32,0.14286,0.8,1,Movement,1,environment_1
2,1.5,-0.80952,-0.48,0.28570999999999996,0.8,1,Movement,1,environment_1
2,1.625,-0.7619,-0.6,0.0,0.8,1,Movement,1,environment_1
2,1.75,-0.52381,-0.64,-0.14286,0.65,1,Movement,1,environment_1
