工单编号,故障发生时间,涉及基站eNBID或小区ECGI,故障原因定位（大类）
1,2019/2/4 22:26,5F0A37BA3C8428C1B2ED83CEB714BA3F,电力故障
2,2019/2/5 0:12,505346F7A6D536667EE8F73CD15C1179,电力故障
3,2019/2/5 0:32,597ACECFDC702C079940F608FA17BE76,电力故障
4,2019/2/5 0:34,F98EC4E70CBBD66A4005CC3EF9D8233D,电力故障
5,2019/2/5 0:36,8B52CD71E5397D8D818F641A56657863,电力故障
6,2019/2/5 0:41,D28C3879A688B51BC7016E55131A3F2D,硬件故障
7,2019/2/5 1:24,67E65EC1EE29F3971993424FD9DCEAA1,硬件故障
8,2019/2/5 2:09,476A1EBA3437F8117AD6C5D40C551FF7,传输故障
9,2019/2/5 2:29,B731EF07B1376AEE94C525C0ED8AEE88,电力故障
10,2019/2/5 2:32,0C965544227EF071A4D6C247F77D0617,硬件故障
11,2019/2/5 2:40,DB8AFB92757886A789D95AFB6D34300D,电力故障
12,2019/2/5 2:49,B4D06150CB9B8C072CEF6EAC045472FD,电力故障
13,2019/2/5 3:07,BB74B195BF3E3FE4AE9AD79B3B60173D,电力故障
14,2019/2/5 3:21,8A42429B51D21263BAA5412864AECEB2,电力故障
15,2019/2/5 3:24,C6664E236298EA6450F78ACC44B67119,电力故障
16,2019/2/5 3:58,BBD04FEECC21150ECE80543A4C0F6B9E,传输故障
17,2019/2/5 4:10,6B11F2C309C06286024243F9C606526A,电力故障
18,2019/2/5 4:15,4CBF3E2D17CF1E64AF818828D4F7A71D,电力故障
19,2019/2/5 4:15,4CBF3E2D17CF1E64AF818828D4F7A71D,电力故障
20,2019/2/5 4:18,470BA24B6CCD28DC6DD1107785FF0334,传输故障
21,2019/2/5 4:19,F722A53BDEE6169A73CF0553BD2BF77F,电力故障
22,2019/2/5 4:43,A0FA74712E00C7E449844144A65EC7AD,电力故障
23,2019/2/5 4:44,ACA020C1E366DFA3F8F8705446E6B9BC,电力故障
24,2019/2/5 4:44,45EB9337C8C8F75E249446499EF0D063,电力故障
25,2019/2/5 5:33,BC73E82D4301B77E018285C6DDC9EBF0,硬件故障
26,2019/2/5 5:58,AB42325A39B96494E77D926AA86D2308,传输故障
27,2019/2/5 6:18,0B4A42B96A3232C0AA0A88B7D4DB663A,电力故障
28,2019/2/5 6:40,AA40D9DEA6E556DEF8657C7408C2EC46,电力故障
29,2019/2/5 6:41,27AB4C67E7E4DD10ACDEEC8E3AA70BED,电力故障
30,2019/2/5 6:41,BAEDD295406B45DA550776CF529A510F,电力故障
31,2019/2/5 6:41,BD39A60C4B63929D3829BBB4D0094DAA,电力故障
32,2019/2/5 7:08,8F8D92DAA608FF8517142097AD0A4E32,硬件故障
33,2019/2/5 7:25,1A33B84194F8CF8AB71BF923E66B17E7,电力故障
34,2019/2/5 7:30,7E1CC0DE414EE60757929A2240837096,硬件故障
35,2019/2/5 7:39,18C716E0D85C5E69897CF2DD6CE45AAD,硬件故障
36,2019/2/5 7:53,7AC31C77DDF00FC402F420D567C4218F,传输故障
37,2019/2/5 7:55,7AC31C77DDF00FC402F420D567C4218F,传输故障
38,2019/2/5 8:12,A846F56289D6CC0E96C4F184D2068DD3,电力故障
39,2019/2/5 8:12,A846F56289D6CC0E96C4F184D2068DD3,电力故障
40,2019/2/5 8:17,054F20E09FACF3D5E1970463D777C719,硬件故障
41,2019/2/5 8:20,65FB40FA6BE3DE4C05CAE749149D4E62,电力故障
42,2019/2/5 8:23,E55595898B1EDD313A6882147AF40EB8,传输故障
43,2019/2/5 8:31,0AA41B2C15AB2A3C04C042375750CCAE,硬件故障
44,2019/2/5 8:34,02E699C45BDC976DB846A20F5811944F,电力故障
45,2019/2/5 8:34,02E699C45BDC976DB846A20F5811944F,电力故障
46,2019/2/5 8:38,557944AFCD91F11971DA6A15400664B5,电力故障
47,2019/2/5 8:39,D9D3889C9C72687D8C706F8A81422538,硬件故障
48,2019/2/5 8:39,2AC5ABD7B8B541ABF5D93A42F6249E56,电力故障
49,2019/2/5 9:04,C264BF72097A4C114BBB4E3C42310C61,硬件故障
50,2019/2/5 9:05,412F00AC4105C8130C84B84D602B9BC1,电力故障
51,2019/2/5 9:39,A31634D6753DB6A51C18CF139D96D448,电力故障
52,2019/2/5 9:41,64BF08CB4BCC581754432D0B580B0597,传输故障
53,2019/2/5 9:41,149F35AEEF1B91D58BD5B750EFD7AFC6,电力故障
54,2019/2/5 9:47,DA1DFDA65566BF8CAEF795BC5470B432,硬件故障
55,2019/2/5 9:51,76481F10943ECFBF3C94119896ECBD85,传输故障
56,2019/2/5 9:54,65FB40FA6BE3DE4C05CAE749149D4E62,电力故障
57,2019/2/5 10:02,ADCC4BCC6F200ABE58383011EFF402A0,电力故障
58,2019/2/5 10:03,B116362B25712C71708BBF74BBDEE457,电力故障
59,2019/2/5 10:09,6DC1AF0691D68BE5A7E5EDA9217E52D3,硬件故障
60,2019/2/5 10:09,1190C12505EA5FED9D7A882DF01F9714,电力故障
61,2019/2/5 10:12,65FB40FA6BE3DE4C05CAE749149D4E62,电力故障
62,2019/2/5 10:12,65FB40FA6BE3DE4C05CAE749149D4E62,电力故障
63,2019/2/5 10:12,49BC6D6F619E14BF6D7ED84CE8BE524C,电力故障
64,2019/2/5 10:20,315A6D5F286FF218C12F7CEA82193749,软件故障
65,2019/2/5 10:27,996FA1706156D554E849D94D7C35EEBE,电力故障
66,2019/2/5 10:29,8BEE526857F977D6F5FE226348EB4170,电力故障
67,2019/2/5 10:30,35F1C21152F5C1FF542BB904679D6699,电力故障
68,2019/2/5 10:33,5382D74DF7447EC8619DA96AF4D6031B,硬件故障
69,2019/2/5 10:33,44EBED342656AAE736D1BD95982C10E9,传输故障
70,2019/2/5 10:39,4DA58D9466414B93DCEFCD37C3A27194,电力故障
71,2019/2/5 10:39,AFB0C41B00ACE35233496A02B06219EA,电力故障
72,2019/2/5 10:43,5CDBE1A3137A4FCE13E06AC1AE41AF01,电力故障
73,2019/2/5 10:59,8CA8CEC5A3808961B440D6CD27309382,电力故障
74,2019/2/5 10:59,8CA8CEC5A3808961B440D6CD27309382,电力故障
75,2019/2/5 11:04,596584250DE3A41520D8562726973D7D,电力故障
76,2019/2/5 11:23,EED7C425812E26ED74FA8EF2C5F1C1B5,电力故障
77,2019/2/5 11:24,F06356108F9EA0ED67C6C762F07D9A71,电力故障
78,2019/2/5 11:34,FC8DA09C9B33D27A96E04A4126D27171,硬件故障
79,2019/2/5 11:34,D477C4B5555EF3D848EAE525D91A6422,传输故障
80,2019/2/5 11:34,D477C4B5555EF3D848EAE525D91A6422,电力故障
81,2019/2/5 11:40,C8812ADDBCC934ACE19F0DD15DB618D1,动环故障
82,2019/2/5 11:46,A4F10288F4BA257B65355C4E6B9462BE,传输故障
83,2019/2/5 11:59,10D532D589A6AF2D4C1A411E928E33FE,传输故障
84,2019/2/5 12:03,E70212E229D1AC6753F256BC826D0EB6,电力故障
85,2019/2/5 12:09,BC73E82D4301B77E018285C6DDC9EBF0,硬件故障
86,2019/2/5 12:19,9EB38513FD72A3E45DCD11B51943C45A,电力故障
87,2019/2/5 12:19,90AE681DC7D2B316A23BBE54BDD2E8BA,电力故障
88,2019/2/5 12:32,99667417976F07245A4D0CB08EFA5B01,电力故障
89,2019/2/5 12:33,F9BE0B648AF851CC151CEB1A8E108D8A,传输故障
90,2019/2/5 12:54,AC4B3C175D1F7BC3A2D8951D08F48B36,电力故障
91,2019/2/5 13:05,57881552103C9401F066FB262069DB19,传输故障
92,2019/2/5 13:07,D28C3879A688B51BC7016E55131A3F2D,硬件故障
93,2019/2/5 13:29,A2819A7B3644B2CCBA0BF0BDFDDB71DF,传输故障
94,2019/2/5 13:38,F6E90230524A9B5C78A38F2EE7DF24F8,电力故障
95,2019/2/5 13:45,2FAAF7A2D982E297008BD19A992B1798,电力故障
96,2019/2/5 13:48,35F1C21152F5C1FF542BB904679D6699,电力故障
97,2019/2/5 13:50,B396AD806AEE9E3431E9F1309DC95CD9,电力故障
